,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,81,81,f_classif,0.794
1,RF,2,71,71,f_classif,0.696
2,RF,3,91,91,f_classif,0.892
3,RF,4,71,71,f_classif,0.696
4,RF,5,30,30,f_classif,0.294
5,XGB,1,71,71,f_classif,0.696
6,XGB,2,91,91,f_classif,0.892
7,XGB,3,all,102,f_classif,1.0
8,XGB,4,10,10,f_classif,0.098
9,XGB,5,40,40,f_classif,0.392
10,DT,1,51,51,f_classif,0.5
11,DT,2,71,71,f_classif,0.696
12,DT,3,91,91,f_classif,0.892
13,DT,4,71,71,f_classif,0.696
14,DT,5,71,71,f_classif,0.696
